year,month,day,week,temp_2,temp_1,average,actual,friend
2016,1,2,Sat,19.0,19.0,17.62,19.0,22.62
2016,1,3,Sun,19.0,19.0,17.92,20.4,16.92
2016,1,4,Mon,19.0,20.4,19.38,23.5,16.38
2016,1,5,Tue,20.4,23.5,18.5,17.8,16.5
2016,1,6,Wed,23.5,17.8,16.74,15.2,20.74
2016,1,7,Thu,17.8,15.2,16.88,20.6,20.88
2016,1,8,Fri,15.2,20.6,17.5,22.1,20.5
2016,1,9,Sat,20.6,22.1,17.88,22.6,15.88
2016,1,10,Sun,22.1,22.6,17.18,20.4,18.18
2016,1,11,Mon,22.6,20.4,16.52,19.1,17.52
2016,1,12,Tue,20.4,19.1,17.7,17.8,22.7
2016,1,13,Wed,19.1,17.8,16.62,17.1,12.62
2016,1,14,Thu,17.8,17.1,17.4,19.6,18.4
2016,1,15,Fri,17.1,19.6,17.46,17.8,15.46
2016,1,16,Sat,19.6,17.8,18.04,14.9,18.04
2016,1,17,Sun,17.8,14.9,16.82,15.3,11.82
2016,1,18,Mon,14.9,15.3,16.28,19.0,17.28
2016,1,19,Tue,15.3,19.0,14.3,17.5,9.3
2016,1,20,Wed,19.0,17.5,14.56,17.0,13.56
2016,1,21,Thu,17.5,17.0,17.14,17.2,14.14
2016,1,22,Fri,17.0,17.2,17.96,17.6,16.96
2016,1,23,Sat,17.2,17.6,18.04,18.4,20.04
2016,1,24,Sun,17.6,18.4,16.34,15.8,15.34
2016,1,25,Mon,18.4,15.8,17.34,17.6,19.34
2016,1,26,Tue,15.8,17.6,16.1,16.5,17.1
2016,1,27,Wed,17.6,16.5,17.54,18.2,12.54
2016,1,28,Thu,16.5,18.2,17.98,20.5,18.98
2016,1,29,Fri,18.2,20.5,17.8,14.5,22.8
2016,1,30,Sat,20.5,14.5,19.44,20.7,19.44
2016,1,31,Sun,14.5,20.7,20.04,22.8,18.04
2016,2,1,Mon,20.7,22.8,20.72,21.5,21.72
2016,2,2,Tue,22.8,21.5,18.06,19.0,22.06
2016,2,3,Wed,21.5,19.0,18.8,22.0,20.8
2016,2,4,Thu,19.0,22.0,18.18,16.1,19.18
2016,2,5,Fri,22.0,16.1,17.1,16.4,13.1
2016,2,6,Sat,16.1,16.4,16.72,17.3,17.72
2016,2,7,Sun,16.4,17.3,18.86,17.9,23.86
2016,2,8,Mon,17.3,17.9,18.1,21.3,22.1
2016,2,9,Tue,17.9,21.3,18.42,20.0,15.42
2016,2,10,Wed,21.3,20.0,19.04,20.4,19.04
2016,2,11,Thu,20.0,20.4,20.1,21.5,15.1
2016,2,12,Fri,20.4,21.5,17.92,20.9,19.92
2016,2,13,Sat,21.5,20.9,19.18,23.5,24.18
2016,2,14,Sun,20.9,23.5,18.88,19.3,19.88
2016,2,15,Mon,23.5,19.3,18.84,18.6,20.84
2016,2,16,Tue,19.3,18.6,17.1,14.8,15.1
2016,2,17,Wed,18.6,14.8,17.64,16.0,15.64
2016,2,18,Thu,14.8,16.0,16.34,16.5,21.34
2016,2,19,Fri,16.0,16.5,16.56,15.3,18.56
2016,2,20,Sat,16.5,15.3,18.3,16.7,22.3
2016,2,21,Sun,15.3,16.7,17.58,17.8,20.58
2016,2,22,Mon,16.7,17.8,18.84,22.4,17.84
2016,2,23,Tue,17.8,22.4,19.42,23.5,18.42
2016,2,24,Wed,22.4,23.5,17.98,21.5,18.98
2016,2,25,Thu,23.5,21.5,20.26,22.3,21.26
2016,2,26,Fri,21.5,22.3,20.16,18.6,18.16
2016,2,27,Sat,22.3,18.6,18.64,12.1,19.64
2016,2,28,Sun,18.6,12.1,18.62,16.8,17.62
2016,2,29,Mon,12.1,16.8,22.1,20.4,24.1
2016,3,1,Tue,16.8,20.4,20.4,21.0,18.4
2016,3,2,Wed,20.4,21.0,21.68,27.0,26.68
2016,3,3,Thu,21.0,27.0,20.86,23.0,18.86
2016,3,4,Fri,27.0,23.0,20.88,24.5,15.88
2016,3,5,Sat,23.0,24.5,19.56,20.0,16.56
2016,3,6,Sun,24.5,20.0,20.42,16.9,20.42
2016,3,7,Mon,20.0,16.9,20.32,12.8,21.32
2016,3,8,Tue,16.9,12.8,19.74,17.0,19.74
2016,3,9,Wed,12.8,17.0,23.16,18.0,20.16
2016,3,10,Thu,17.0,18.0,20.92,12.5,24.92
2016,3,11,Fri,18.0,12.5,20.26,18.0,18.26
2016,3,12,Sat,12.5,18.0,19.44,16.5,21.44
2016,3,13,Sun,18.0,16.5,19.28,15.6,17.28
2016,3,14,Mon,16.5,15.6,18.86,15.3,16.86
2016,3,15,Tue,15.6,15.3,19.32,16.0,23.32
2016,3,16,Wed,15.3,16.0,19.0,21.0,22.0
2016,3,17,Thu,16.0,21.0,19.34,15.0,14.34
2016,3,18,Fri,21.0,15.0,18.6,16.6,22.6
2016,3,19,Sat,15.0,16.6,17.14,15.4,19.14
2016,3,20,Sun,16.6,15.4,16.92,18.0,11.92
2016,3,21,Mon,15.4,18.0,16.92,17.2,15.92
2016,3,22,Tue,18.0,17.2,18.34,19.5,17.34
2016,3,23,Wed,17.2,19.5,19.9,21.4,22.9
2016,3,24,Thu,19.5,21.4,18.6,21.5,22.6
2016,3,25,Fri,21.4,21.5,19.88,28.0,16.88
2016,3,26,Sat,21.5,28.0,20.38,26.0,22.38
2016,3,27,Sun,28.0,26.0,20.32,25.4,18.32
2016,3,28,Mon,26.0,25.4,22.34,24.5,24.34
2016,3,29,Tue,25.4,24.5,23.02,27.0,26.02
2016,3,30,Wed,24.5,27.0,18.58,19.4,16.58
2016,3,31,Thu,27.0,19.4,18.54,21.5,13.54
2016,4,1,Fri,19.4,21.5,19.46,17.4,16.46
2016,4,2,Sat,21.5,17.4,19.82,21.0,23.82
2016,4,3,Sun,17.4,21.0,21.88,19.5,21.88
2016,4,4,Mon,21.0,19.5,19.62,18.5,18.62
2016,4,5,Tue,19.5,18.5,18.84,16.5,18.84
2016,4,6,Wed,18.5,16.5,19.76,22.8,17.76
2016,4,7,Thu,16.5,22.8,20.78,21.1,15.78
2016,4,8,Fri,22.8,21.1,21.2,18.3,18.2
2016,4,9,Sat,21.1,18.3,21.4,25.5,20.4
2016,4,10,Sun,18.3,25.5,20.48,21.8,23.48
2016,4,11,Mon,25.5,21.8,21.26,22.6,16.26
2016,4,12,Tue,21.8,22.6,21.72,22.8,16.72
2016,4,13,Wed,22.6,22.8,21.7,24.6,21.7
2016,4,14,Thu,22.8,24.6,24.46,25.5,22.46
2016,4,15,Fri,24.6,25.5,20.86,20.0,18.86
2016,4,16,Sat,25.5,20.0,22.42,28.0,22.42
